BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
5-hydroxyhexanoate	1192	72	Lipid	"Fatty Acid, Monohydroxy"	31938	LC/MS (-)	1283	131.07136	44843-89-2	170748		-0.878892438	0.794934474	-0.436271863	4.016401718	HMDB00525
pantothenate (Vitamin B5)	2277	200	Cofactors and Vitamins	Pantothenate and CoA Metabolism	1508	LC/MS (+)	2218	220.11795	137-08-6	6613	C00864	-0.254456445	1.322345102	-2.365952925	2.546663228	HMDB00210
"4-androsten-3beta,17beta-diol disulfate 1*"	1607	195	Lipid	Steroid	37202	LC/MS (-)	3735	224.06182		10634	C04295	-1.15588271	2.673798287	-1.934652681	1.888899506	HMDB03818
threonylleucine	637	182	Peptide	Dipeptide	40051	LC/MS (+)	2204	233.14959	50299-12-2	4420322		-0.268294272	1.203220656	-1.840795946	2.695494209	
1-oleoylplasmenylethanolamine*	1379	199	Lipid	Lysolipid	44621	LC/MS (-)	6105.2	462.29899				0.012093999	0.743332695	-2.941956132	1.724215167	
X - 12602		188			34170	LC/MS (+)	1456	204.13458				-0.385854365	1.389765406	-2.017528813	2.598484274	
leucylaspartate	528	173	Peptide	Dipeptide	40053	LC/MS (+)	1589.6	247.12885	32949-40-9	3328705		-0.074371888	1.344678446	-2.096663904	2.471535467	
X - 11440		199			32757	LC/MS (-)	3571	246.07449				-0.051162456	1.966507627	-2.567873267	2.15347842	
xanthosine	2120	191	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	15136	LC/MS (+)	1785	285.08296	146-80-5	64959	C01762	0.054902036	0.607015064	-2.366141811	2.464548113	HMDB00299
histidyltryptophan	502	198	Peptide	Dipeptide	41912	LC/MS (+)	1961	342.15607	23403-90-9	6539217		0.20874025	1.43321642	-3.463333961	2.550028645	
vanillylmandelate (VMA)	133	139	Amino Acid	Phenylalanine and Tyrosine Metabolism	1567	LC/MS (-)	964	197.04555	55-10-7	1245	C05584	-0.116323673	0.698746556	-1.039253281	3.337080715	HMDB00291
2-linolenoylglycerophosphocholine(18:3n3)*	1358	107	Lipid	Lysolipid	45869	LC/MS (+)	5488.2	518.32412				-1.185133508	1.061696368	-0.989876674	1.978575097	
X - 18908		192			42293	LC/MS (-)	4044.1	295.116				0.17943454	1.659151746	-1.628634011	3.749166777	
histidylisoleucine	496	159	Peptide	Dipeptide	43138	LC/MS (+)	1414.9	269.16082	510-791-9560	4060215		-0.451568941	1.603813183	-1.249456145	2.023733403	
leucylasparagine	527	110	Peptide	Dipeptide	40052	LC/MS (+)	1418	246.14484	14608-81-2	4128305		-1.659703334	2.074277309	-0.990709253	2.741042703	
dehydroisoandrosterone sulfate (DHEA-S)	1591	198	Lipid	Steroid	32425	LC/MS (-)	4771	367.15846	651-48-9	12594	C04555	-0.698908113	2.556601425	-2.599199566	1.566019834	HMDB01032
glycerol 3-phosphate (G3P)	1437	200	Lipid	Glycerolipid Metabolism	15365	GC/MS	1719.7	357.1	29849-82-9	754	C00093	0.063764997	0.644406617	-2.371233381	3.366579852	HMDB00126
X - 12101		196			33516	LC/MS (+)	1646	164.07398				-0.025627632	1.073633719	-2.132571155	2.421592912	
X - 12850		198			34533	LC/MS (-)	4847	263.62766				0.34736425	1.723757356	-2.549248176	2.660963729	
hydroxyisovaleroylcarnitine (C5)	229	200	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	35433	LC/MS (+)	1683	262.1649	99159-87-2			-0.049734347	0.804331215	-2.732862735	2.026306949	
X - 16580		195			39153	LC/MS (+)	1681.8	222.07977				0.021815041	0.868615952	-2.432604483	1.620050254	
N-acetylhistidine	51	169	Amino Acid	Histidine Metabolism	33946	LC/MS (-)	913	196.07276	39145-52-3	75619	C02997	-0.160740108	1.232546984	-1.153292144	2.900549122	HMDB32055
X - 12125		186			33540	LC/MS (+)	1544	245.16109				-0.419807858	1.433420588	-1.665982447	2.262791519	
X - 17443		137			40272	LC/MS (-)	3102.3	271.15533				-0.396091078	1.756187387	-1.068757384	3.971078082	
3-hydroxysebacate	1186	124	Lipid	"Fatty Acid, Monohydroxy"	31943	LC/MS (-)	1285	217.10814	73141-46-5	3017884		-0.808398866	1.697815623	-1.124253222	2.640589594	HMDB00350
X - 17347		80			40154	LC/MS (-)	1851.9	218.99719				-1.217570351	1.376021583	-0.568177021	3.594043274	
asparagylleucine	433	186	Peptide	Dipeptide	42980	LC/MS (+)	2170	246.14484				0.499713069	2.696712208	-1.292379269	2.436228999	
threitol	783	199	Carbohydrate	Pentose Metabolism	35854	GC/MS	1513	217.1	2418-52-2	169019	C16884	0.046148703	0.896924949	-2.19654606	2.761756486	HMDB04136
delta-tocopherol	2294	126	Cofactors and Vitamins	Tocopherol Metabolism	33418	GC/MS	2232	474.4	119-13-1	92094	C14151	-0.885028072	1.393223552	-1.025226789	2.897150808	HMDB02902
catechol sulfate	2378	194	Xenobiotics	Benzoate Metabolism	35320	LC/MS (-)	1928	188.98631	120-80-9	3083879	C00090	-0.658328862	2.149101574	-2.64191752	1.563927236	
N-acetylneuraminate	897	200	Carbohydrate	Aminosugar Metabolism	1592	GC/MS	2074.9	245	131-48-6	439197	C00270	-0.020927947	0.659049211	-2.270395298	2.813982263	HMDB00230
X - 07765		190			32560	LC/MS (-)	3705	245.04841				-1.324543581	3.140231716	-2.232436952	1.460726565	
2-piperidinone	2430	200	Xenobiotics	Food Component/Plant	43400	LC/MS (+)	2034	100.0757	675-20-7	12665		0.742446709	1.456485239	-1.569530492	2.487755479	
X - 12097		175			33512	LC/MS (+)	1526	174.1237				-0.777380024	1.616244832	-1.317542278	2.415181905	
ribose	772	199	Carbohydrate	Pentose Metabolism	12083	GC/MS	1652	204	50-69-1	5779	C00121	0.080649593	0.721213397	-2.204329517	3.344388937	HMDB00283
tiglyl carnitine (C5)	252	178	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	35428	LC/MS (+)	2317	244.15434	64191-86-2	22833596		-0.27014277	1.057769133	-2.075128378	2.682653766	HMDB02366
4-vinylphenol sulfate	2394	197	Xenobiotics	Benzoate Metabolism	36098	LC/MS (-)	3323	199.00705	2628-17-3	6426766	C05627	-0.194120904	2.236055858	-2.386330423	2.535567546	HMDB04072
X - 12119		199			33534	LC/MS (+)	1582	208.06379				0.078598544	0.956859325	-2.369425027	4.05336098	
X - 11537		196			32854	LC/MS (+)	5200	366.33685				-0.012053897	1.174375786	-3.416894364	2.365144729	
X - 19497		188			43050	LC/MS (-)	3657.6	227.129				-0.232007666	1.681349633	-1.390204697	3.4649669	
X - 12749		194			34359	LC/MS (+)	1562	262.12879				-0.167358706	0.538474163	-3.476543335	2.233505301	
"5alpha-pregnan-3beta,20alpha-diol monsulfate 2*"	1566	190	Lipid	Steroid	37200	LC/MS (-)	5043	399.22106				-0.128419611	1.572477643	-1.607959024	3.611472348	
X - 18485		161			41712	LC/MS (+)	997.5	132.10146				-0.463720382	2.419974015	-1.233012935	3.706729317	
caffeine	2406	199	Xenobiotics	Xanthine Metabolism	569	LC/MS (+)	2820	195.08766	58-08-2	2519	C07481	-0.1608061	3.334057822	-1.576527344	2.466469614	HMDB01847
indolebutyrate	207	164	Amino Acid	Tryptophan Metabolism	34402	LC/MS (+)	4449	204.10191	133-32-4	8617	C11284	-0.221185436	1.498472434	-1.19049569	3.783803251	HMDB02096
azelate (nonanedioate; C9)	1066	200	Lipid	"Fatty Acid, Dicarboxylate"	18362	LC/MS (-)	1322	187.09758	123-99-9	2266	C08261	0.174561231	1.684040838	-1.45708816	4.853090208	HMDB00784
X - 12685		86			34294	LC/MS (+)	1060	154.09774				-0.921415415	1.791295117	-0.656796095	4.185270755	
X - 18619		48			41853	LC/MS (+)	3624.3	397.15991				-1.764274597	1.06125017	-0.490608092	3.246796738	
X - 18928		165			42313	LC/MS (+)	3349.3	675.3407				-0.456190318	1.631475183	-1.473557825	2.070926658	
X - 01911		144			32735	LC/MS (+)	4275	464.19216				-2.096188713	2.933254818	-1.063356731	2.22931476	
X - 11593		200			32910	LC/MS (-)	790	189.04047				0.026220829	0.669747998	-2.390332668	2.583005885	
X - 15492		92			37740	LC/MS (-)	4698	541.26439				-0.786936071	0.809323394	-0.65340962	3.580190391	
X - 12734		154			34344	LC/MS (-)	2214	218.99646				-0.50356658	2.125909991	-1.267636319	2.71029479	
X - 18922		183			42307	LC/MS (-)	4907.9	299.18643				-0.056156022	1.339702558	-1.516993136	3.372772809	
X - 12729		199			34339	LC/MS (-)	2077	227.99677				-0.106417563	1.327968373	-2.269322238	2.44586596	
scyllo-inositol	1304	187	Lipid	Inositol Metabolism	32379	GC/MS	1893.8	318.2	488-59-5	892	C06153	0.153763313	1.13864452	-2.734625094	2.351914162	HMDB06088
X - 13553		185			35331	LC/MS (-)	1406	263.02257				-0.036876748	1.252125588	-1.938201244	2.792831816	
X - 15728		133			37977	LC/MS (-)	3972	231.03281				-1.046498228	2.058549021	-1.177026876	1.944516626	
1-stearoylglycerophosphoglycerol	1432	198	Lipid	Lysolipid	34437	LC/MS (-)	5826	511.30414				0.011034335	0.525105961	-2.613184344	3.581077465	
1-oleoylglycerophosphoglycerol*	1434	197	Lipid	Lysolipid	45968	LC/MS (-)	5586.8	509.2885				0.317086494	1.001452372	-2.047998363	2.730747244	
1-palmitoylglycerophosphoglycerol*	1429	185	Lipid	Lysolipid	45970	LC/MS (-)	5549.7	483.2728		3300276		0.152614615	1.183159674	-1.512156666	2.483771952	
X - 13727		196			35537	LC/MS (-)	1551	232.02806				-0.036269578	1.326064214	-2.005495374	3.448825547	
X - 12364		200			33792	LC/MS (+)	1800	204.08662				-0.011105626	0.597505075	-2.994483164	2.06620147	
piperine	2684	149	Xenobiotics	Food Component/Plant	33935	LC/MS (+)	5136	286.14377	94-62-2	638024	C03882	-2.497539726	4.011596203	-1.107019081	2.128757064	HMDB29377
X - 18916		151			42301	LC/MS (-)	4610.9	297.1707				-0.40689087	1.343030398	-1.032676579	3.516606664	
pregnenolone sulfate	1545	196	Lipid	Steroid	38170	LC/MS (-)	5089	395.18976	1247-64-9	105074		0.108975975	1.984810701	-2.377771736	2.714305775	HMDB00774
X - 17323		150			40121	LC/MS (+)	3126.7	272.18521				-0.061004463	1.488517252	-1.766656217	1.676803373	
X - 12104		200			33519	LC/MS (+)	1755	271.0928				-0.062927984	0.459919439	-2.181239079	3.094414892	
1-linolenoylglycerophosphoethanolamine (18:3n3)*	1393	193	Lipid	Lysolipid	45976	LC/MS (+)	5536.5	476.2772				-0.521413954	1.146612159	-1.822874237	3.000699107	
HXGXA*	696	67	Peptide	Polypeptide	31534	LC/MS (+)	2754	510.30346				-1.731377935	1.427822074	-0.627916168	3.580651099	
X - 15168		170			37309	LC/MS (+)	1850	294.14509				-0.451350664	1.23276728	-1.753571612	2.14516282	
1-oleoylglycerol (18:1)	1451	195	Lipid	Monoacylglycerol	21184	GC/MS	2181.2	397.4	111-03-5	5283468		-0.024138391	1.267488328	-2.341349297	2.064121366	HMDB11567
7-methylguanine	2172	200	Nucleotide	"Purine Metabolism, Guanine containing"	35114	LC/MS (+)	1353	166.07234	578-76-7	11361	C02242	0.175933649	0.618911011	-1.469002599	3.44757664	HMDB00897
1-palmitoylglycerol (16:0)	1446	200	Lipid	Monoacylglycerol	21127	GC/MS	2119.5	371.3	542-44-9	14900		0.113615506	0.676404357	-1.782277792	3.381374602	HMDB31074
fucose	791	191	Carbohydrate	Pentose Metabolism	15821	GC/MS	1682.2	204	2438-80-4	19466	C01018	-0.117116515	0.929053084	-1.994451685	3.784440637	HMDB00174
3-methoxytyrosine	135	199	Amino Acid	Phenylalanine and Tyrosine Metabolism	12017	LC/MS (+)	1765	212.09174	300-48-1	1670		0.112645811	0.829184981	-2.009947541	3.184089131	HMDB01434
taurocholenate sulfate*	1689	200	Lipid	Secondary Bile Acid Metabolism	32807	LC/MS (-)	4762	279.61422				0.361335662	1.844176138	-1.727198381	3.190855836	
3-indoxyl sulfate	185	200	Amino Acid	Tryptophan Metabolism	27672	LC/MS (-)	2258	212.0023	2642-37-7	10258		-0.042300445	1.34021416	-4.437371821	1.385156077	HMDB00682
laurate (12:0)	945	200	Lipid	Medium Chain Fatty Acid	1645	LC/MS (-)	5288	199.17035	143-07-7	3893	C02679	-0.187672536	1.195715958	-2.288208564	2.284165558	HMDB00638
X - 12386		166			33787	LC/MS (+)	1451	218.11339				-0.781628411	1.576524598	-1.439055681	2.220358969	
2-stearoylglycerophosphoinositol*	1409	186	Lipid	Lysolipid	39223	LC/MS (-)	5725	599.32018				-0.040489289	0.652575261	-2.785403752	1.751014917	
sucrose	825	145	Carbohydrate	Disaccharides and Oligosaccharides	1519	LC/MS (-)	875	341.10894	57-50-1	5988	C00089	-0.544033268	1.880043807	-1.172058863	2.196541052	HMDB00258
X - 12680		199			34289	LC/MS (+)	819	229.1295				0.074074239	1.255887171	-1.758664602	2.837738355	
riboflavin (Vitamin B2)	2274	198	Cofactors and Vitamins	Riboflavin Metabolism	1827	LC/MS (+)	3111	377.14557	83-88-5	493570	C00255	-0.045579617	1.195687323	-2.059247781	3.471474231	HMDB00244
X - 13671		200			35464	LC/MS (-)	5226	315.25369				0.046211532	0.653003901	-2.011552437	2.695171373	
threonylisoleucine	636	96	Peptide	Dipeptide	42972	LC/MS (+)	2135	233.14959				-2.37522621	2.252018456	-0.80775031	2.228674621	
1-linoleoylglycerol (18:2)	1453	199	Lipid	Monoacylglycerol	27447	LC/MS (-)	6226	279.23295	2277-28-3	5283469		-0.047021062	1.084998993	-2.173790343	2.41716172	
X - 12855		200			34539	LC/MS (+)	1404	248.14957				-0.139782413	1.334076316	-2.027586687	2.247306799	
X - 12691		192			34300	LC/MS (+)	1405	360.14021				-0.021651178	0.566337505	-1.897930677	2.677795016	
X - 15375		200			37622	LC/MS (+)	2502	328.12684				-0.314541229	0.741463853	-3.512956374	2.987632396	
1-oleoyl-GPC (18:1)	1352	200	Lipid	Lysolipid	33960	LC/MS (+)	5700	522.35542	19420-56-5	16081932		-0.09052195	0.647221262	-2.175238441	2.405118265	
X - 14568		200			36495	LC/MS (-)	628	132.92075				0.005847989	0.137320426	-2.74738595	3.317534979	
X - 14302		122			36228	LC/MS (-)	2240	241.11946				-0.698476075	1.349141053	-1.121638953	3.151335935	
N-acetylglutamate	38	192	Amino Acid	Glutamate Metabolism	15720	LC/MS (+)	1492	190.071	1430871	70914	C00624	0.015584427	0.740455873	-1.893254942	2.172569032	HMDB01138
N-acetylglycine	2	200	Amino Acid	"Glycine, Serine and Threonine Metabolism"	27710	LC/MS (-)	735	116.03531	543-24-8	10972		0.064820914	0.765166133	-2.885251374	2.357644715	HMDB00532
X - 18140		171			41243	LC/MS (+)	1931.1	125.0643				-0.277227434	1.412481084	-2.176693984	1.815723155	
glutamate	36	200	Amino Acid	Glutamate Metabolism	57	LC/MS (+)	700	148.06044	56-86-0	611	C00025	0.161370947	0.78160019	-1.722177896	2.725983825	HMDB00148
21-hydroxypregnenolone disulfate	1553	197	Lipid	Steroid	37173	LC/MS (-)	3931	245.06711	1164-98-3	134595	C05485	0.09196878	1.966698868	-1.54079986	3.319866064	HMDB04026
X - 17299		197			40097	LC/MS (+)	1265.9	229.15448				-0.056280593	0.714214781	-2.448563537	2.621250603	
X - 12713		111			34323	LC/MS (-)	1645	263.02318				-0.426084368	0.851367066	-0.853916448	3.117193585	
serotonin (5HT)	202	160	Amino Acid	Tryptophan Metabolism	2342	LC/MS (+)	1660	177.10224	153-98-0	5202	C00780	-0.068613663	1.462041613	-1.619101349	2.183973691	HMDB00259
deoxycarnitine	1167	200	Lipid	Carnitine Metabolism	36747	LC/MS (+)	759	146.11756	6249-56-5	134	C01181	-0.1986019	0.542545045	-2.170736324	2.279399699	HMDB01161
pregnanediol-3-glucuronide	1574	113	Lipid	Steroid	40708	LC/MS (-)	5136.9	495.29634	1852-49-9	123796		-1.36291908	1.381264562	-0.731536572	3.466772679	
X - 15502		154			37750	LC/MS (-)	1557	216.03308				-0.296345307	1.749103023	-1.066495922	3.477764383	
X - 12127		197			33542	LC/MS (+)	1235	226.08231				0.284724178	1.230745118	-1.380089806	3.385978754	
ibuprofen acyl glucuronide	2779	7	Xenobiotics	Drug	38326	LC/MS (-)	4969	381.15549	115075-59-7	163959		-2.87421911	0.347142349	-0.11785113	8.367430244	
cotinine N-oxide	2423	7	Xenobiotics	Tobacco Metabolite	38662	LC/MS (+)	1790.9	193.09716	36508-80-2	9815514		-2.752332986	0.328934082	-0.11785113	8.367430244	HMDB01411
X - 16137		9			38584	LC/MS (+)	3311.8	460.73391				-3.806521201	0.568447736	-0.11785113	8.367430244	
cotinine	2421	9	Xenobiotics	Tobacco Metabolite	553	LC/MS (+)	1493	177.10224	486-56-6	854019		-1.966521078	0.243454228	-0.11785113	8.367430244	HMDB01046
X - 12733		7			34343	LC/MS (-)	2079	339.06582				-4.089785676	0.44378184	-0.11785113	8.367430244	
X - 18604		7			41838	LC/MS (-)	2838.6	355.197				-1.797064893	0.082785208	-0.11785113	8.367430244	
X - 13152		199			34844	LC/MS (+)	1731	168.06335				-0.219191809	1.032979817	-2.508909505	2.857901021	
X - 14961		200			36988	LC/MS (-)	685	149.04556				0.003520076	0.602324601	-2.119672184	3.343468197	
arachidate (20:0)	967	200	Lipid	Long Chain Fatty Acid	44679	LC/MS (-)	6282	311.29555	506-30-9	10467	C06425	0.067343477	0.432014396	-2.550533632	2.482524115	HMDB02212
undecanedioate	1068	164	Lipid	"Fatty Acid, Dicarboxylate"	35671	LC/MS (-)	2376	215.12888	1852-04-6	15816		0.011485385	1.375725342	-0.833621113	5.158015522	HMDB00888
X - 11247		190			32564	LC/MS (-)	3932	213.02227				0.048864356	1.728288398	-2.153434861	1.799292655	
X - 14272		198			36198	LC/MS (+)	2265	261.14475				0.191794332	1.361794585	-2.0258944	2.399437805	
folate	2304	15	Cofactors and Vitamins	Folate Metabolism	1826	LC/MS (+)	2606	442.14696	59-30-3	6037	C00504	-1.96285373	0.237700287	-0.135600058	8.257683472	HMDB00121
X - 13581		200			35359	LC/MS (-)	5150	257.176				0.396939525	1.405997317	-0.836001795	3.827123929	
glutamine-leucine	465	195	Peptide	Dipeptide	42994	LC/MS (+)	2180	260.16049				0.319542093	1.477921214	-1.697453497	3.195308529	
3-hydroxyoctanoate	1184	196	Lipid	"Fatty Acid, Monohydroxy"	22001	LC/MS (-)	3463	159.10266	88930-08-9	26613		0.214219407	1.534901791	-1.915260695	2.122336129	HMDB01954
1-methylurate	2410	198	Xenobiotics	Xanthine Metabolism	34395	LC/MS (+)	1827	183.05127	708-79-2	69726	C16359	0.061335044	1.213014561	-2.031333806	2.808447654	HMDB03099
X - 14291		200			36217	LC/MS (+)	2373	195.11276				0.044217003	0.967494837	-2.573620065	3.063264031	
acetylphosphate	934	200	Energy	Oxidative Phosphorylation	15488	GC/MS	1263	211	94249-01-1	186	C00227	-0.0006954	0.284737024	-2.648574736	2.216889114	HMDB01494
"5-pregnen-3b, 17-diol-20-one 3-sulfate"	1561	146	Lipid	Steroid	37482	LC/MS (-)	4834	411.18468	28901-70-4	152971		0.063581784	2.466470503	-0.9281063	2.663928311	HMDB00416
X - 18938		161			42325	LC/MS (-)	2294.2	245.13962				-0.401886319	1.807250023	-1.344541978	3.210098855	
myo-inositol	1301	200	Lipid	Inositol Metabolism	19934	GC/MS	1924.9	217	87-89-8	892	C00137	0.045756894	0.832729029	-3.423675592	2.589252502	HMDB00211
X - 14331		171			36257	LC/MS (+)	2560	393.22303				-0.342051748	1.17909657	-1.459486137	2.05574949	
3-hydroxytetradecanedioate	1188	7	Lipid	"Fatty Acid, Monohydroxy"	31930	LC/MS (-)	3385	273.17074	73179-89-2			-2.093129781	0.387595474	-0.15806935	7.536857729	
"bilirubin (E,E)*"	2322	199	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	32586	LC/MS (+)	4625	585.27076	114-25-0	5315454		-0.240974413	1.715604061	-2.172661638	2.639844673	
carboxyibuprofen	2783	8	Xenobiotics	Drug	43333	LC/MS (-)	1934	235.09758	15935-54-3	10444113		-1.591893762	0.213090608	-0.163174518	7.108010628	
leucylglutamate	529	190	Peptide	Dipeptide	40021	LC/MS (+)	1716	261.1445		5259589;5259590		-0.188034855	1.062440201	-2.158503564	2.3412632	
X - 19126		8			42533	LC/MS (-)	3660.9	545.31775				-2.369967628	0.355412658	-0.166119676	6.668213901	
phenylpyruvate	97	20	Amino Acid	Phenylalanine and Tyrosine Metabolism	566	LC/MS (-)	2534	163.04007	156-06-9	997	C00166	-1.80129975	0.274033648	-0.166537494	6.573279454	HMDB00205
X - 16283		17			38852	LC/MS (-)	2338.1	192.0668				-1.62368673	0.286435652	-0.166921429	6.46908166	
X - 17345		8			40145	LC/MS (-)	1544	215.10338				-4.31617539	0.820977953	-0.167031463	6.434843921	
X - 18606		36			41840	LC/MS (-)	3940.3	429.177				-2.269070923	0.406701348	-0.167570555	6.210421846	
X - 17471		7			40300	LC/MS (-)	4017.3	394.05472				-4.12935317	0.740619435	-0.167650891	6.160022558	
X - 12816		7			34499	LC/MS (-)	2676	495.22267				-0.920448308	0.164783982	-0.167664197	6.150706303	
X - 19133		26			42540	LC/MS (-)	2383.2	381.0758				-1.312939634	0.228449181	-0.167815177	5.999877735	
X - 18981		8			42379	LC/MS (+)	2445.2	284.13361				-2.408620268	0.409988229	-0.167852921	5.874852244	
cyclo(glu-glu)	448	195	Peptide	Dipeptide	37100	LC/MS (+)	1595	259.09247		7408481		0.177994418	1.043556376	-1.385780803	4.766310181	
X - 17655		18			40597	LC/MS (-)	4172.2	421.0596				-2.04760326	1.637226844	-0.170648536	7.837292713	
homostachydrine*	2633	179	Xenobiotics	Food Component/Plant	33009	LC/MS (+)	1199	158.11756	1195-94-4	441447	C08283	0.353689035	1.983373071	-2.612602216	1.811746042	HMDB33433
5-acetylamino-6-formylamino-3-methyluracil	2420	17	Xenobiotics	Xanthine Metabolism	34401	LC/MS (-)	930	225.06292	85438-96-6	108214	C16365	-1.818984881	0.178627664	-0.173203975	6.58933068	HMDB11105
1-stearoyl-GPI (18:0)	1408	200	Lipid	Lysolipid	19324	LC/MS (-)	5800	599.32018	796963-93-4			0.09140633	0.525359459	-3.058595119	2.374699432	
1-eicosapentaenoylglycerophosphoethanolamine*	1400	119	Lipid	Lysolipid	44626	LC/MS (-)	5560.7	498.26261				-1.045468849	1.185329926	-0.812837385	3.532769132	
1-myristoylglycerol (14:0)	1442	199	Lipid	Monoacylglycerol	35625	LC/MS (-)	5965	227.20165	75685-84-6	79050	C01885	-0.100224844	1.132846867	-2.176963382	1.958910822	HMDB11561
X - 12007		114			33353	LC/MS (-)	1376	222.99134				-1.457027356	1.928212656	-0.960484029	2.675631499	
epiandrosterone sulfate	1594	153	Lipid	Steroid	33973	LC/MS (-)	4838	369.17411	22229-22-7		C07635	-2.234759285	3.220368785	-1.231971004	2.126040836	HMDB00365
X - 12212		143			33633	LC/MS (-)	3607	229.01713				-0.265207382	1.862032252	-1.252432893	2.0890172	
propionylcarnitine (C3)	1137	200	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32452	LC/MS (+)	1589	218.13869	17298-37-2	107738	C03017	-0.153278514	0.746980474	-3.434111617	2.521007811	HMDB00824
palmitoyl ethanolamide	1290	199	Lipid	Endocannabinoid	38165	LC/MS (-)	6416	298.27515	544-31-0	4671	C16512	-0.032212049	0.331205991	-3.078437057	1.990069829	HMDB02100
taurohyocholate	1680	138	Lipid	Secondary Bile Acid Metabolism	42603	LC/MS (-)	5000	514.28439				-0.139384186	2.645248221	-1.206070397	2.809655746	
X - 11640		11			32957	LC/MS (-)	3776	377.07015				-0.301175972	0.232557892	-0.195152418	7.66526795	
X - 12822		163			34505	LC/MS (-)	2786	389.09131				-0.208339957	0.93065305	-1.405414304	3.634576114	
X - 19451		28			42927	LC/MS (-)	3728.5	239.00133				-1.580055491	0.658209645	-0.199301227	7.450165799	
X - 13726		10			35536	LC/MS (-)	1523	379.03427				-4.362894375	0.794887342	-0.200051093	5.488695244	
N-acetylaspartate (NAA)	31	167	Amino Acid	Alanine and Aspartate Metabolism	22185	LC/MS (+)	1222	176.05535	997-55-7;997-55-7	65065	C01042	-0.129438924	0.764589972	-1.480236808	2.174354163	HMDB00812
X - 18341		13			41559	LC/MS (-)	1038.9	190.07221				-0.892466179	0.216586256	-0.200465333	6.280921255	
acisoga	337	200	Amino Acid	Polyamine Metabolism	43258	LC/MS (+)	2317.9	185.1285	106692-36-8	129397		-0.106737306	0.648364698	-2.170728497	1.836949481	
N-acetylalliin*	2554	13	Xenobiotics	Food Component/Plant	45404	LC/MS (-)	1446	218.04925				-1.289454751	0.211409272	-0.202452043	6.099329231	
X - 15595		7			37844	LC/MS (-)	2124	343.025				-0.2968639	0.207508175	-0.202698021	7.50785033	
X - 11491		161			32808	LC/MS (-)	4846	567.31639				-0.301158551	1.287948425	-1.329680677	1.853175893	
X - 15666		198			37915	LC/MS (+)	2096	221.09205				-0.034838053	0.669107483	-1.804990145	2.545570005	
X - 18932		12			42319	LC/MS (-)	1516.4	199.06123				-2.141050596	0.528011113	-0.203586561	5.937603231	
alanine	24	200	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS (+)	650	90.05496	56-41-7	5950	C00041	-0.096110609	0.508810126	-3.347100369	2.003620015	HMDB00161
X - 17696		15			40793	LC/MS (-)	3246.7	341.124				-1.164437209	0.293301131	-0.204906153	6.11176757	
tyrosyltryptophan	669	21	Peptide	Dipeptide	41405	LC/MS (-)	3192.4	366.14593	60815-41-0			-2.063399069	0.479497132	-0.205489835	5.57228597	
X - 18273		8			41421	LC/MS (-)	2615	573.2764				-5.174015215	1.068092835	-0.205606654	5.369269098	
X - 17705		14			40802	LC/MS (-)	4637.4	594.3644				-0.754425069	0.19867641	-0.205690067	6.274918174	
X - 16945		11			39528	LC/MS (-)	3457.9	351.0177				-0.006645651	0.6939459	-0.206275163	5.753684941	
diphenhydramine	2852	11	Xenobiotics	Drug	38669	LC/MS (+)	3832	256.16959	147-24-0	3100	C06960	-4.229205301	0.93860204	-0.20653761	5.239383805	HMDB01927
X - 12718		14			34328	LC/MS (-)	1750	324.07221				-1.490082639	0.263746628	-0.206842846	4.960579228	
X - 19124		10			42531	LC/MS (-)	3431.4	457.26572				-4.772372674	1.005793236	-0.206985329	4.92939414	
indoleacetylglutamine	209	19	Amino Acid	Tryptophan Metabolism	42087	LC/MS (-)	2530	302.11463				-0.729864305	0.189466269	-0.207843458	6.885384437	
2-hydroxydecanoate	1178	200	Lipid	"Fatty Acid, Monohydroxy"	42489	LC/MS (-)	4826	187.13396	5393-81-7	21488		0.152492063	1.184731102	-2.462166446	2.131358929	
xanthine	2118	200	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	3147	LC/MS (+)	1430	153.04071	69-89-6	1188	C00385	0.210395345	0.58998329	-1.800337875	2.474201458	HMDB00292
X - 12690		200			34299	LC/MS (+)	1386	346.12446				0.123793997	0.573024501	-1.563961835	3.003373511	
kynurenine	186	200	Amino Acid	Tryptophan Metabolism	15140	LC/MS (+)	1902	209.09207	2922-83-0	161166	C00328	0.131701154	0.613334348	-2.908268156	2.663117107	HMDB00684
salicyluric glucuronide*	2778	25	Xenobiotics	Drug	33384	LC/MS (-)	1463	370.07797				-0.782539577	0.845781133	-0.220676612	6.214659655	
